"anio","casos","t_max","t_med","t_min","hr","precip","oni_mean","oni_djf"
2013,1685,29.3136164383562,26.6904109589041,24.353095890411,77.4311232876712,1223.97,-0.234166666666667,-0.243333333333333
2014,977,29.6958356164384,26.6473424657534,23.8658904109589,75.1411232876712,998.48,0.205,0.0566666666666667
2015,7475,30.5999178082192,27.3907397260274,24.5714520547945,73.4802465753425,905.59,1.54833333333333,1.35
2016,4109,30.278825136612,27.2267759562842,24.5711202185792,74.1894808743169,1124.82,0.423333333333333,1.48666666666667
2017,588,29.8461369863014,27.0499726027397,24.5330684931507,74.9890684931507,1345.14,-0.115,-0.356666666666667
2018,194,29.982904109589,26.8746575342466,24.1167671232877,75.0647123287671,1141.26,0.0941666666666667,-0.186666666666667
2019,760,30.5087671232877,27.4167123287671,24.6205479452055,74.4997534246575,1340.76,0.575,0.803333333333333
2020,302,29.7578142076503,27.1333606557377,24.8037978142077,78.1203825136612,2180.79,-0.271666666666667,0.0633333333333333
2021,90,30.439698630137,27.3097534246575,24.5862191780822,74.8918356164384,1478.07,-0.635,-0.856666666666667
2022,604,30.0020273972603,27.0415342465753,24.4353150684931,76.608904109589,1359.94,-0.85,-0.773333333333333
2023,13397,31.4318356164384,28.2158630136986,25.424301369863,71.9875616438356,696.07,0.9,0.41
2024,5996,30.9776229508197,27.9943715846995,25.4336338797814,74.56,928.8,0.436666666666667,1.04
